run,stage,baud,ok,sent,recv,mismatch,timeout,sec,kbps,note
1,recover,115200,1,0,0,0,0,0.0,0.0,already
1,handshake,115200,1,0,0,0,0,0.0,0.0,@PONG
1,stress,115200,1,38400,38400,0,0,8.238807439804077,37.28694987041782,-
1,switch,230400,1,0,0,0,0,0.0,0.0,ok
1,stress,230400,1,38400,38400,0,0,6.446232318878174,47.65574444165572,-
1,switch,460800,1,0,0,0,0,0.0,0.0,ok
1,stress,460800,1,38400,38400,0,0,5.835975885391235,52.6390112010214,-
1,switch,921600,1,0,0,0,0,0.0,0.0,ok
1,stress,921600,1,38400,38400,0,0,5.2462310791015625,58.556322694922,-
1,switch,1000000,1,0,0,0,0,0.0,0.0,ok
1,stress,1000000,1,38400,38400,0,0,5.255580902099609,58.45214938605042,-
1,switch,1500000,1,0,0,0,0,0.0,0.0,ok
1,stress,1500000,1,38400,38400,0,0,5.223949432373047,58.80608225191996,-
1,switch,2000000,1,0,0,0,0,0.0,0.0,ok
1,stress,2000000,1,38400,38400,0,0,5.097448348999023,60.26544635029491,-
1,switch,3000000,0,0,0,0,0,0.0,0.0,ping_new_fail:b'\xe2\xdc\xf0'
2,recover,115200,1,0,0,0,0,0.0,0.0,from_2000000:ok
2,handshake,115200,1,0,0,0,0,0.0,0.0,@PONG
2,stress,115200,1,38400,38400,0,0,8.226967334747314,37.34061258545588,-
2,switch,230400,1,0,0,0,0,0.0,0.0,ok
2,stress,230400,1,38400,38400,0,0,6.485374450683594,47.368120736285235,-
2,switch,460800,1,0,0,0,0,0.0,0.0,ok
2,stress,460800,1,38400,38400,0,0,5.837727069854736,52.62322070285554,-
2,switch,921600,1,0,0,0,0,0.0,0.0,ok
2,stress,921600,1,38400,38400,0,0,5.243606328964233,58.58563376566086,-
2,switch,1000000,1,0,0,0,0,0.0,0.0,ok
2,stress,1000000,1,38400,38400,0,0,5.24993109703064,58.51505368780026,-
2,switch,1500000,1,0,0,0,0,0.0,0.0,ok
2,stress,1500000,1,38400,38400,0,0,5.2421488761901855,58.601922084910804,-
2,switch,2000000,1,0,0,0,0,0.0,0.0,ok
2,stress,2000000,1,38400,38400,0,0,5.0839455127716064,60.42550991710457,-
2,switch,3000000,0,0,0,0,0,0.0,0.0,ping_new_fail:b'\xe2\xdc\xf0'
3,recover,115200,1,0,0,0,0,0.0,0.0,from_2000000:ok
3,handshake,115200,1,0,0,0,0,0.0,0.0,@PONG
3,stress,115200,1,38400,38400,0,0,8.227313995361328,37.33903922631415,-
3,switch,230400,1,0,0,0,0,0.0,0.0,ok
3,stress,230400,1,38400,38400,0,0,6.44980263710022,47.62936438286346,-
3,switch,460800,1,0,0,0,0,0.0,0.0,ok
3,stress,460800,1,38400,38400,0,0,5.83174204826355,52.677227054559346,-
3,switch,921600,1,0,0,0,0,0.0,0.0,ok
3,stress,921600,1,38400,38400,0,0,5.246542930603027,58.55284214069912,-
3,switch,1000000,1,0,0,0,0,0.0,0.0,ok
3,stress,1000000,1,38400,38400,0,0,5.251738786697388,58.49491234753243,-
3,switch,1500000,1,0,0,0,0,0.0,0.0,ok
3,stress,1500000,1,38400,38400,0,0,5.2560741901397705,58.44666359091687,-
3,switch,2000000,1,0,0,0,0,0.0,0.0,ok
3,stress,2000000,1,38400,38400,0,0,5.101282358169556,60.22015219526676,-
3,switch,3000000,0,0,0,0,0,0.0,0.0,ping_new_fail:b'\xe3^\xf0'
