baud,packets,ok_pkts,fail_pkts,timeout_pkts,mismatch_pkts,pkt_loss_rate_pct,sent_bytes,recv_bytes,byte_loss,byte_loss_rate_pct,duration_sec,throughput_kbps,first_fail
2500000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.762064,0.000,timeout@0:len=0
2400000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.826254,0.000,timeout@0:len=0
2300000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.853779,0.000,timeout@0:len=0
2200000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.966195,0.000,timeout@0:len=0
2100000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.841522,0.000,timeout@0:len=0
2000000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.766548,0.000,timeout@0:len=0
1900000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.899779,0.000,timeout@0:len=0
1800000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.855304,0.000,timeout@0:len=0
1700000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.683247,0.000,timeout@0:len=0
1600000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,5.893969,0.000,timeout@0:len=0
1500000,200,0,200,200,0,100.000000,25600,15800,9800,38.281250,5.932745,21.305,timeout@0:len=79
1400000,200,0,200,200,0,100.000000,25600,15800,9800,38.281250,6.071275,20.819,timeout@0:len=79
1300000,200,0,200,200,0,100.000000,25600,15722,9878,38.585938,6.359590,19.777,timeout@0:len=79
1200000,200,0,200,200,0,100.000000,25600,5200,20400,79.687500,6.582422,6.320,timeout@0:len=26
1100000,200,0,200,200,0,100.000000,25600,5200,20400,79.687500,7.476432,5.564,timeout@0:len=26
1000000,200,0,200,200,0,100.000000,25600,18000,7600,29.687500,8.837517,16.294,timeout@0:len=90
900000,200,0,200,200,0,100.000000,25600,18000,7600,29.687500,8.458710,17.024,timeout@0:len=90
800000,200,0,200,200,0,100.000000,25600,17995,7605,29.707031,8.645510,16.651,timeout@0:len=90
700000,200,0,200,0,200,100.000000,25600,25600,0,0.000000,3.732835,54.864,mismatch@0
600000,200,0,200,0,200,100.000000,25600,25600,0,0.000000,3.763561,54.417,mismatch@0
500000,200,0,200,200,0,100.000000,25600,18000,7600,29.687500,11.965614,12.034,timeout@0:len=90
400000,200,0,200,200,0,100.000000,25600,18000,7600,29.687500,14.083833,10.224,timeout@0:len=90
300000,200,0,200,200,0,100.000000,25600,18000,7600,29.687500,17.482651,8.237,timeout@0:len=90
200000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,24.517558,0.000,timeout@0:len=0
100000,200,0,200,200,0,100.000000,25600,0,25600,100.000000,47.345232,0.000,timeout@0:len=0
