baud,reachable,ok,fail,timeout,mismatch,pkt_loss_pct,byte_loss_pct,kbps,first_fail
2000000,1,500,0,0,0,0.0,0.0,59.897400424659764,-
2100000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ping_new_fail:b''
2200000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ping_new_fail:b''
2300000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ping_new_fail:b''
2400000,1,500,0,0,0,0.0,0.0,59.74997659369008,-
2500000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ping_new_fail:b''
2600000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfdP\xe4\xe9R\xfc'
2700000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfdP\xf7\xe9R\xfc'
2800000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@q\xfdP\xf7\xe9\xc2R\xfc'
2900000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfdP\xf7\xe9\xca\xd2\xfc'
3000000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'\xc0B\xfd\xd0\xe4\xe9R\xfc'
3100000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfdP\xe4\xe9R\xfc'
3200000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@q\xfd\xd0\xe4\xe9R\xfc'
3300000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'\xc0B\xfdP\xe4\xe9R\xfe'
3400000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfdP\xf7\xe9\xd2\xfc'
3500000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@\xa2\xf1P\xe4\xe9R\xfc'
3600000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@q\xfdP\xe4\xe9R\xfe'
3700000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'\xc0B\xfdP\xe4\xe9R\xfe'
3800000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'\xc0B\xfdP\xe4\xe9\xc2R\xfc'
3900000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'\xc0B\xfd\xd0\xec\xe9\xcaR\xfc'
4000000,0,0,500,500,0,100.0,100.0,0.0,switch_fail:ack_fail:b'@B\xfd\xd0\xe4\xe9R\xfc'
